Time(sec),Temperature(C),PWM(%)
0.001,27.50,0
0.004,27.50,0
0.008,27.50,0
0.013,27.50,0
0.019,27.50,0
0.027,27.50,0
0.027,27.50,0
0.028,27.50,0
0.038,27.50,0
0.038,27.50,0
0.044,27.50,0
0.044,27.50,0
0.049,27.50,0
0.057,27.50,0
0.057,27.50,0
0.068,27.50,0
0.068,27.50,0
0.068,27.50,0
0.076,27.50,0
0.076,27.50,0
0.080,27.50,0
0.091,27.50,0
0.091,27.50,0
0.092,27.50,74
0.097,27.50,74
0.102,27.50,74
0.105,27.50,74
0.108,27.50,74
0.112,27.50,74
0.121,27.50,74
0.122,27.50,74
0.129,27.50,74
0.129,27.50,74
0.132,27.50,74
0.137,27.50,74
0.140,27.50,74
0.144,27.50,74
0.148,27.50,74
0.152,27.50,74
0.157,27.50,74
0.161,27.50,74
0.169,27.50,74
0.170,27.50,74
0.173,27.50,74
0.180,27.50,74
0.188,27.50,74
0.189,27.50,74
0.189,27.50,74
0.197,27.50,74
0.197,27.50,74
0.203,27.50,74
0.205,27.50,74
0.208,27.50,74
0.212,27.50,74
0.222,27.50,74
0.222,27.50,75
0.229,27.50,75
0.229,27.50,75
0.233,27.50,75
0.237,27.50,75
0.240,27.50,75
0.244,27.50,75
0.248,27.50,75
0.252,27.50,75
0.256,27.50,75
0.260,27.50,75
0.265,27.50,75
0.270,27.50,75
0.272,27.50,75
0.278,27.75,75
0.282,27.75,75
0.285,27.75,74
0.288,27.75,74
0.292,27.75,74
0.296,27.75,74
0.300,27.75,74
0.304,27.75,74
0.308,27.75,74
0.312,27.75,74
0.322,27.75,74
0.322,27.75,74
0.325,27.75,74
0.328,27.75,74
0.332,27.75,74
0.337,27.75,74
0.340,27.75,74
0.344,27.75,74
0.348,27.75,74
0.352,28.00,74
0.356,28.00,74
0.360,28.00,74
0.365,28.00,74
0.372,28.00,74
0.372,28.00,74
0.378,28.00,74
0.382,28.00,74
0.385,28.00,74
0.388,28.00,74
0.392,28.00,74
0.396,28.00,74
0.401,28.00,74
0.404,28.00,74
0.408,28.00,74
0.412,28.00,74
0.420,28.00,74
0.424,28.00,74
0.424,28.00,74
0.429,28.25,74
0.433,28.25,74
0.439,28.25,73
0.441,28.25,73
0.444,28.25,73
0.448,28.25,73
0.453,28.25,73
0.456,28.25,73
0.460,28.25,73
0.466,28.25,73
0.475,28.25,73
0.475,28.25,73
0.477,28.25,73
0.481,28.25,73
0.487,28.25,74
0.490,28.25,74
0.492,28.25,74
0.496,28.25,74
0.501,28.50,74
0.504,28.50,74
0.508,28.50,73
0.512,28.50,73
0.520,28.50,73
0.522,28.50,73
0.525,28.50,73
0.528,28.50,73
0.533,28.50,73
0.537,28.50,73
0.540,28.50,73
0.544,28.50,73
0.548,28.50,73
0.552,28.50,73
0.556,28.50,73
0.560,28.50,73
0.565,28.50,73
0.569,28.50,73
0.573,28.50,73
0.578,28.75,73
0.582,28.75,72
0.587,28.75,72
0.588,28.75,72
0.592,28.75,72
0.596,28.75,72
0.601,28.75,72
0.604,28.75,72
0.608,28.75,72
0.612,28.75,73
0.624,28.75,73
0.624,28.75,73
0.624,28.75,73
0.630,28.75,73
0.635,28.75,73
0.636,28.75,73
0.640,28.75,73
0.644,28.75,73
0.648,29.00,73
0.653,29.00,72
0.656,29.00,72
0.660,29.00,72
0.665,29.00,72
0.668,29.00,72
0.674,29.00,72
0.680,29.00,72
0.680,29.00,72
0.686,29.00,72
0.689,29.00,72
0.692,29.00,72
0.696,29.00,72
0.701,29.00,72
0.704,29.00,72
0.708,29.00,72
0.712,29.00,72
0.721,29.00,72
0.721,29.00,72
0.724,29.50,72
0.730,29.50,72
0.735,29.50,71
0.738,29.50,71
0.741,29.50,71
0.745,29.50,71
0.749,29.50,71
0.753,29.50,71
0.756,29.50,71
0.761,29.50,71
0.767,29.50,71
0.769,29.50,71
0.776,29.50,71
0.783,29.50,71
0.783,29.50,71
0.785,29.50,71
0.789,29.50,71
0.794,29.50,71
0.799,29.50,71
0.804,29.75,71
0.804,29.75,70
0.808,29.75,70
0.812,29.75,70
0.820,29.75,70
0.820,29.75,70
0.824,29.75,70
0.830,29.75,70
0.836,29.75,70
0.836,29.75,70
0.840,29.75,70
0.844,29.75,70
0.848,29.75,70
0.852,29.75,70
0.856,29.75,70
0.860,29.75,71
0.865,29.75,71
0.871,29.75,71
0.874,30.50,71
0.877,30.50,68
0.880,30.50,68
0.887,30.50,68
0.890,30.50,68
0.892,30.50,68
0.896,30.50,68
0.900,30.50,68
0.904,30.50,68
0.908,30.50,68
0.912,30.50,68
0.923,30.50,68
0.923,30.50,68
0.924,30.50,68
0.931,30.50,68
0.938,30.50,68
0.938,30.50,68
0.941,30.50,68
0.944,30.50,68
0.948,30.75,68
0.952,30.75,68
0.956,30.75,68
0.960,30.75,68
0.965,30.75,68
0.973,30.75,68
0.973,30.75,68
0.979,30.75,68
0.983,30.75,68
0.985,30.75,68
0.988,30.75,68
0.992,30.75,68
0.996,30.75,68
1.001,30.75,68
1.004,30.75,68
1.008,30.75,68
1.012,30.75,68
1.024,30.75,68
1.024,31.25,68
1.024,31.25,68
1.030,31.25,66
1.035,31.25,66
1.036,31.25,66
1.041,31.25,66
1.045,31.25,66
1.049,31.25,66
1.053,31.25,66
1.057,31.25,66
1.061,31.25,67
1.069,31.25,67
1.069,31.25,67
1.081,31.25,67
1.083,31.25,67
1.083,31.25,67
1.090,31.25,67
1.090,31.25,67
1.099,31.25,67
1.099,32.00,67
1.101,32.00,64
1.105,32.00,64
1.112,32.00,64
1.119,32.00,64
1.119,32.00,64
1.125,32.00,64
1.125,32.00,64
1.130,32.00,64
1.138,32.00,64
1.139,32.00,64
1.141,32.00,64
1.146,32.00,64
1.150,32.00,64
1.155,32.00,64
1.156,32.00,64
1.160,32.00,64
1.164,32.00,65
1.173,32.50,65
1.174,32.50,63
1.180,32.50,63
1.180,32.50,63
1.186,32.50,63
1.189,32.50,63
1.192,32.50,63
1.196,32.50,63
1.200,32.50,63
1.204,32.50,63
1.208,32.50,63
1.212,32.50,63
1.220,32.50,63
1.223,32.50,63
1.224,32.50,63
1.229,32.50,63
1.234,32.50,63
1.237,32.50,63
1.240,32.50,63
1.244,33.00,63
1.248,33.00,63
1.253,33.00,62
1.256,33.00,62
1.260,33.00,62
1.264,33.00,62
1.272,33.00,62
1.272,33.00,62
1.278,33.00,62
1.282,33.00,62
1.287,33.00,62
1.288,33.00,62
1.292,33.00,62
1.296,33.00,62
1.301,33.00,62
1.305,33.00,62
1.309,33.00,62
1.313,33.00,62
1.321,33.75,62
1.323,33.75,62
1.330,33.75,59
1.332,33.75,59
1.342,33.75,59
1.342,33.75,59
1.342,33.75,60
1.344,33.75,60
1.353,33.75,60
1.353,33.75,60
1.358,33.75,60
1.360,33.75,60
1.365,33.75,60
1.369,33.75,60
1.372,33.75,60
1.378,33.75,60
1.383,33.75,60
1.384,33.75,60
1.388,33.75,60
1.392,34.25,60
1.396,34.25,58
1.400,34.25,58
1.404,34.25,58
1.408,34.25,58
1.412,34.25,58
1.422,34.25,58
1.422,34.25,58
1.428,34.25,58
1.428,34.25,58
1.433,34.25,58
1.436,34.25,58
1.440,34.25,58
1.444,34.25,58
1.448,34.25,58
1.452,34.25,58
1.457,34.25,58
1.461,34.25,58
1.469,34.25,58
1.471,34.75,58
1.473,34.75,58
1.483,34.75,57
1.493,34.75,57
1.493,34.75,57
1.493,34.75,57
1.493,34.75,57
1.499,34.75,57
1.504,34.75,57
1.504,34.75,57
1.509,34.75,57
1.512,34.75,57
1.522,34.75,57
1.522,34.75,57
1.528,34.75,57
1.528,34.75,57
1.532,34.75,57
1.537,34.75,57
1.540,35.25,57
1.544,35.25,57
1.548,35.25,55
1.552,35.25,55
1.556,35.25,55
1.560,35.25,55
1.565,35.25,55
1.569,35.25,55
1.572,35.25,55
1.579,35.25,55
1.583,35.25,55
1.585,35.25,55
1.588,35.25,56
1.592,35.25,56
1.596,35.25,56
1.601,35.25,56
1.604,35.25,56
1.608,35.25,56
1.612,35.25,56
1.623,36.00,56
1.623,36.00,53
1.625,36.00,53
1.629,36.00,53
1.634,36.00,53
1.638,36.00,53
1.640,36.00,53
1.644,36.00,53
1.648,36.00,53
1.652,36.00,53
1.656,36.00,53
1.660,36.00,53
1.665,36.00,53
1.670,36.00,53
1.673,36.00,53
1.677,36.00,53
1.681,36.00,53
